rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
THCA	ZSCAN29|146050	1	mod3	-0.879450133286806	4.86317882822716e-06	3.37669775242943e-05	0.328183209093808
THCA	ZNF571|51276	1	mod2	-0.931395879909754	4.1795727506604e-06	2.95785148508274e-05	0.326832749398619
THCA	ZNF583|147949	1	mod3	-0.855951727116446	5.60035710532739e-06	3.74714802683723e-05	0.324717959940249
THCA	ZNF461|92283	1	mod3	-0.838901409902032	6.07649668250688e-06	3.99312639136167e-05	0.322707213687102
THCA	ZNF225|7768	1	mod3	-0.623327772028932	6.29548762977097e-06	4.06445517150126e-05	0.321833090791403
THCA	ZNF223|7766	1	mod2	-0.594988826447608	5.206631170392e-06	3.5482227235264e-05	0.321518769231068
THCA	ZNF785|146540	1	mod3	-0.713742772114436	7.23857135167276e-06	4.43965709569262e-05	0.318376803015913
THCA	ZNF486|90649	1	mod3	-0.280564978664572	8.32015399736007e-06	4.71835805960454e-05	0.314913064200108
THCA	ZNF665|79788	1	mod3	-0.680738640981714	8.44887324962812e-06	4.71835805960454e-05	0.314530244151926
THCA	ZNF234|10780	1	mod3	-0.961633672770244	9.51291995797971e-06	5.07355731092251e-05	0.311565992708009
THCA	ZNF615|284370	1	mod3	-0.616464392721395	1.12267237123639e-05	5.81892158612663e-05	0.30740740772625
THCA	ZNF445|353274	1	mod3	-0.826104574161078	1.3955920106116e-05	6.66984233642947e-05	0.301910480229094
THCA	ZFP14|57677	1	mod2	-0.620292810648419	1.2523320469884e-05	6.19527323069419e-05	0.299915904998612
THCA	ZNF527|84503	1	mod2	-1.01749946623191	1.37958087728004e-05	6.66984233642947e-05	0.297496941625395
THCA	ZNF708|7562	1	mod2	-0.761876048878067	1.43352401355343e-05	6.76329278189308e-05	0.296536141340024
THCA	ZNF570|148268	1	mod2	-0.714255110093427	1.54022556220624e-05	7.17472160622656e-05	0.294734650276224
